CODE,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
2110,0.026164,0.01142,0.022706,27.553937,2.95177,2.906669,1.265604,0.376913,0.022725,0.853305,0.052421,99.18,98
2110,0.061405,0.012539,0.019234,135.66556,6.104418,1.753335,0.793912,0.522302,0.048956,0.76153,0.052421,118.98,98
2110,0.099421,0.012453,0.022875,126.9258,7.453739,1.153575,0.725492,0.509992,0.082181,0.787381,0.052421,131.56,98
2110,0.125268,0.012462,0.024046,14726.14861,11.337993,0.890271,0.745914,0.52713,0.113734,0.81567,0.052421,131.44,98
2110,0.043367,0.011115,0.020066,852.967109,3.01813,3.045943,0.794625,0.516745,0.039674,0.771953,0.052421,131.44,98
2756,0.020882,0.01562,0.034418,5.193458,1.592295,5.056744,2.20061,0.239778,0.023247,2.177771,0.052421,99.18,94
2756,0.045646,0.016442,0.029609,12.308863,3.782624,2.201655,3.242154,0.27006,0.05822,1.93801,0.052421,118.98,94
2756,0.069375,0.015983,0.031957,19.638986,6.671462,1.441934,2.807378,0.297192,0.08027,1.77547,0.052421,131.56,94
2756,0.062879,0.016005,0.032314,41.095667,7.830145,1.078097,2.16616,0.23639,0.091672,1.720978,0.052421,131.44,94
2756,0.028306,0.016969,0.032153,7.170186,1.741069,4.120955,2.446056,0.212395,0.020603,1.829742,0.052421,131.44,94
2760,0.024933,0.066832,0.035956,0.742541,0.636582,9.810022,1.249375,0.480939,0.001742,1.139146,0.052421,99.18,86
2760,0.055451,0.066161,0.037983,1.768453,1.35223,4.215409,1.347799,0.443254,0.003017,1.105825,0.052421,118.98,86
2760,0.078086,0.066091,0.039248,2.617431,1.692169,3.048525,1.438194,0.445571,0.010847,1.105685,0.052421,131.56,86
2760,0.120023,0.061339,0.045379,5.472977,3.455985,1.905915,1.42318,0.46346,0.022429,1.279082,0.052421,131.44,86
2760,0.030268,0.048564,0.03293,1.223365,1.071856,6.294967,1.53635,0.455416,0.038665,1.305071,0.052421,131.44,86
300850,0.13435,0.013694,0.055534,1.893221,1.277489,3.273637,0.920401,0.579387,0.021266,0.495061,0.052421,118.98,89
300850,0.192073,0.011472,0.049126,2.743803,2.337073,1.874067,1.244148,0.451435,0.037902,0.463622,0.052421,131.56,89
300850,0.280636,0.011375,0.046585,5.15126,4.099932,1.616467,1.761182,0.546478,0.051205,0.427414,0.052421,131.44,89
300850,0.04594,0.011908,0.038372,0.893865,0.942071,6.185237,1.687205,0.542951,0.030473,0.48826,0.052421,131.44,89
300881,0.0514,0.022607,0.026656,2.020154,3.292943,1.931672,1.854309,0.410967,0.037902,0.463622,0.052421,131.56,88
300881,0.070718,0.019947,0.026157,3.149159,4.787889,1.308247,2.068901,0.360831,0.051205,0.427414,0.052421,131.44,88
300881,0.015637,0.030377,0.035451,0.781399,0.786047,6.024671,1.734337,0.398101,0.030473,0.48826,0.052421,131.44,88
